epoch,acc,loss,val_acc,val_loss
0,0.84994545456279413,0.55937747378349301,0.91379999999999995,0.2994729872584343
1,0.91901818181818185,0.28179125875559718,0.93269999999999997,0.23665220945030452
2,0.93350909091776069,0.23073007261969827,0.93869999999999998,0.21046679399907589
3,0.94320000000866977,0.19736302722042257,0.94810000000000005,0.18030684990882873
4,0.95034545455412434,0.17355950090722605,0.94999999999999996,0.16657850235700608
5,0.95579999999999998,0.15462340307018974,0.95450000000000002,0.1563748242404312
6,0.95972727272727276,0.13985806320526384,0.95740000000000003,0.14447640819028021
7,0.96369090910824862,0.12767489648461341,0.9627,0.127977314087376
8,0.96636363636363631,0.11720936151688749,0.96020000000000005,0.13318587752208114
9,0.96916363637230618,0.10812691965983673,0.9657,0.11718993095643819
10,0.97065454545454544,0.10051568715030497,0.96679999999999999,0.11561371084973215
11,0.97261818181818183,0.093689727255837491,0.96699999999999997,0.10952229919731617
12,0.97460000000000002,0.087556488617712799,0.96930000000000005,0.1021277993792668
13,0.97660000001733949,0.082211946239119232,0.97019999999999995,0.098902630726248025
14,0.97765454547188502,0.077603517480871895,0.96830000000000005,0.1023013753627427
15,0.97918181818181815,0.072424841226230968,0.97250000000000003,0.09215117028309032
16,0.98007272727272732,0.068319835609197618,0.97340000000000004,0.091984003445506099
17,0.98081818183552139,0.065266220454465257,0.97119999999999995,0.091496829688362771
18,0.98178181819915766,0.061936146208643912,0.97250000000000003,0.09016717155557126
19,0.9837636363636364,0.058184447876567187,0.97219999999999995,0.091055558838741849
20,0.98363636363636364,0.055683924057063731,0.97430000000000005,0.089007087179925296
21,0.98450909090909089,0.05362834790491245,0.97370000000000001,0.08446934988265857
22,0.98547272727272728,0.050992407973584807,0.97509999999999997,0.084889419488469134
23,0.98629090909090911,0.048657427782345226,0.97219999999999995,0.09236470537045971
24,0.98645454545454547,0.047325108045204116,0.97519999999999996,0.081415006114635619
25,0.98721818181818177,0.044269189817526124,0.97350000000000003,0.084951414125738672
26,0.98789090909957888,0.042037144480476324,0.96999999999999997,0.10155271773985587
27,0.98778181818181821,0.041707032350213689,0.97619999999999996,0.084750699392776005
28,0.98849090909090909,0.039801060944321481,0.97230000000000005,0.094073509796289728
29,0.98869090910824864,0.03802529096764258,0.9698,0.10347744078626857
30,0.98918181819915774,0.036672460025582804,0.96630000000000005,0.11162108668121509
31,0.9893272727446123,0.035615173710899596,0.97170000000000001,0.095868784396315465
