epoch,acc,loss,val_acc,val_loss
0,0.89283636362769392,0.36486675095016308,0.94999999999999996,0.16345309868976474
1,0.95619999999133021,0.14425046903409741,0.95440000000000003,0.13906266809031367
2,0.97030909090042117,0.099679665983265095,0.96650000000000003,0.10339993906151504
3,0.97734545455412436,0.075031656548854977,0.96650000000000003,0.10824899947848171
4,0.98298181818181818,0.055090802102163432,0.96789999999999998,0.10556344353291205
5,0.9872545454545455,0.042262790151279081,0.97619999999999996,0.0780512558673392
6,0.99047272727272728,0.030745190818362276,0.97589999999999999,0.085725120778859132
7,0.9931090909004211,0.023312001072687352,0.9677,0.10823821175191987
8,0.99465454545454546,0.018647364372565325,0.97689999999999999,0.0813854387066167
9,0.99639999999999995,0.012745634800398892,0.97699999999999998,0.087501256562303759
10,0.99756363636363632,0.009555373503024352,0.97589999999999999,0.087340622337707105
11,0.99923636363636359,0.0048947283048711883,0.97989999999999999,0.079379578422840311
12,0.9994909090909091,0.0035758101713552607,0.9748,0.098203181588419466
13,0.99960000000000004,0.0031663964137245786,0.97919999999999996,0.083212456047210892
14,0.99983636363636363,0.0017258699705570259,0.98040000000000005,0.082762805247581991
15,0.99994545454545458,0.0011945685099843434,0.97970000000000002,0.08556507080056254
16,0.99996363636363639,0.00099178661807904555,0.98029999999999995,0.086645116532999875
17,0.99998181818181819,0.0008454024148217286,0.98019999999999996,0.088691668212107652
18,0.99998181818181819,0.00077030474414555516,0.97970000000000002,0.090243979281410161
19,0.99998181818181819,0.00071207357391862879,0.98009999999999997,0.09147846244953825
20,0.99998181818181819,0.00066869511343532143,0.98009999999999997,0.092167589042069217
